"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-01T22:00:00.000Z","151.54","152.38","148.39","149.93","-1.32","-1.54","47,339,424"
"2024-01-02T22:00:00.000Z","149.20","151.05","148.33","148.47","-0.9738","-1.19","49,425,495"
"2024-01-03T22:00:00.000Z","145.59","147.38","144.05","144.57","-2.63","-2.85","56,039,807"
"2024-01-04T22:00:00.000Z","144.69","146.59","144.53","145.24","0.4634","0.2433","45,153,147"
"2024-01-07T22:00:00.000Z","146.74","149.40","146.15","149.10","2.66","2.44","46,757,053"
"2024-01-08T22:00:00.000Z","148.33","151.71","148.21","151.37","1.52","1.30","43,812,567"
"2024-01-09T22:00:00.000Z","152.06","154.42","151.88","153.73","1.56","1.34","44,421,830"
"2024-01-10T22:00:00.000Z","155.04","157.17","153.12","155.18","0.9432","0.7231","49,072,691"
"2024-01-11T22:00:00.000Z","155.39","156.20","154.01","154.62","-0.3609","-0.5810","40,484,155"
"2024-01-15T22:00:00.000Z","153.53","154.99","152.15","153.16","-0.9443","-1.16","41,384,636"
"2024-01-16T22:00:00.000Z","151.49","152.15","149.91","151.71","-0.9467","-1.17","34,953,363"
"2024-01-17T22:00:00.000Z","152.77","153.78","151.82","153.50","1.18","0.9597","37,850,245"
"2024-01-18T22:00:00.000Z","153.83","155.76","152.74","155.34","1.20","0.9786","51,651,628"
"2024-01-21T22:00:00.000Z","156.89","157.05","153.90","154.78","-0.3605","-0.5806","43,687,468"
"2024-01-22T22:00:00.000Z","154.85","156.21","153.93","156.02","0.8011","0.5810","37,986,039"
"2024-01-23T22:00:00.000Z","157.80","158.51","156.48","156.87","0.5448","0.3247","48,547,315"
"2024-01-24T22:00:00.000Z","156.95","158.50","154.55","157.75","0.5610","0.3408","43,638,592"
"2024-01-25T22:00:00.000Z","158.42","160.72","157.91","159.12","0.8685","0.6483","51,047,353"
"2024-01-28T22:00:00.000Z","159.34","161.29","158.90","161.26","1.34","1.12","45,270,385"
"2024-01-29T22:00:00.000Z","160.70","161.73","158.49","159.00","-1.40","-1.62","45,207,430"
"2024-01-30T22:00:00.000Z","157.00","159.01","154.81","155.20","-2.39","-2.61","50,284,371"
"2024-01-31T22:00:00.000Z","155.87","159.76","155.62","159.28","2.63","2.41","76,542,419"
"2024-02-01T22:00:00.000Z","169.19","172.50","167.33","171.81","7.87","7.65","117,218,313"
"2024-02-04T22:00:00.000Z","170.20","170.55","167.70","170.31","-0.8731","-1.09","55,081,297"
"2024-02-05T22:00:00.000Z","169.39","170.71","167.65","169.15","-0.6811","-0.9012","42,505,518"
"2024-02-06T22:00:00.000Z","169.48","170.88","168.94","170.53","0.8158","0.5957","47,174,060"
"2024-02-07T22:00:00.000Z","169.65","171.43","168.88","169.84","-0.4046","-0.6248","42,316,454"
"2024-02-08T22:00:00.000Z","170.90","175.00","170.58","174.45","2.71","2.49","56,985,986"
"2024-02-11T22:00:00.000Z","174.80","175.39","171.54","172.34","-1.21","-1.43","51,050,440"
"2024-02-12T22:00:00.000Z","167.73","170.95","165.75","168.64","-2.15","-2.37","56,345,122"
"2024-02-13T22:00:00.000Z","169.21","171.21","168.28","170.98","1.39","1.17","42,815,544"
"2024-02-14T22:00:00.000Z","170.58","171.17","167.59","169.80","-0.6901","-0.9103","49,855,196"
"2024-02-15T22:00:00.000Z","168.74","170.42","167.17","169.51","-0.1708","-0.3909","48,107,744"
"2024-02-19T22:00:00.000Z","167.83","168.71","165.74","167.08","-1.43","-1.65","41,980,326"
"2024-02-20T22:00:00.000Z","168.94","170.23","167.14","168.59","0.9038","0.6836","44,575,623"
"2024-02-21T22:00:00.000Z","173.10","174.80","171.77","174.58","3.55","3.33","55,392,354"
"2024-02-22T22:00:00.000Z","174.28","175.75","173.70","174.99","0.2348","0.0147","59,715,243"
"2024-02-25T22:00:00.000Z","175.70","176.37","174.26","174.73","-0.1486","-0.3687","44,368,614"
"2024-02-26T22:00:00.000Z","174.07","174.62","172.86","173.54","-0.6811","-0.9012","31,141,732"
"2024-02-27T22:00:00.000Z","172.44","174.05","172.27","173.16","-0.2190","-0.4391","28,180,482"
"2024-02-28T22:00:00.000Z","173.01","177.22","172.85","176.76","2.08","1.86","53,805,359"
"2024-02-29T22:00:00.000Z","176.75","178.72","176.07","178.22","0.8260","0.6058","31,981,152"
"2024-03-03T22:00:00.000Z","177.53","180.14","177.49","177.58","-0.3591","-0.5792","37,381,520"
"2024-03-04T22:00:00.000Z","176.93","176.93","173.30","174.12","-1.95","-2.17","37,228,343"
"2024-03-05T22:00:00.000Z","175.54","176.46","173.26","173.51","-0.3503","-0.5705","32,090,926"
"2024-03-06T22:00:00.000Z","174.83","177.99","173.72","176.82","1.91","1.69","34,063,283"
"2024-03-07T22:00:00.000Z","176.44","178.78","174.33","175.35","-0.8314","-1.05","37,893,242"
"2024-03-10T22:00:00.000Z","174.31","174.47","171.47","171.96","-1.93","-2.15","28,484,777"
"2024-03-11T22:00:00.000Z","173.50","176.76","171.98","175.39","1.99","1.77","36,610,604"
"2024-03-12T22:00:00.000Z","175.90","177.62","175.55","176.56","0.6642","0.4441","30,772,600"
"2024-03-13T22:00:00.000Z","177.69","179.53","176.47","178.75","1.24","1.02","43,705,840"
"2024-03-14T22:00:00.000Z","176.64","177.93","173.90","174.42","-2.42","-2.64","72,147,390"
"2024-03-17T22:00:00.000Z","175.80","176.69","174.28","174.48","0.0344","-0.1857","31,250,688"
"2024-03-18T22:00:00.000Z","174.22","176.09","173.52","175.90","0.8138","0.5937","26,880,893"
"2024-03-19T22:00:00.000Z","176.14","178.53","174.64","178.15","1.28","1.06","29,947,150"
"2024-03-20T22:00:00.000Z","179.99","181.41","178.15","178.15","","-0.2201","32,824,320"
"2024-03-21T22:00:00.000Z","177.75","179.25","176.75","178.87","0.4042","0.1840","27,995,378"
"2024-03-24T22:00:00.000Z","178.01","180.99","177.24","179.71","0.4696","0.2495","29,815,464"
"2024-03-25T22:00:00.000Z","180.15","180.45","177.95","178.30","-0.7846","-1.00","29,658,982"
"2024-03-26T22:00:00.000Z","179.88","180.00","177.31","179.83","0.8581","0.6380","33,272,551"
"2024-03-27T22:00:00.000Z","180.17","181.70","179.26","180.38","0.3058","0.0857","38,051,588"
"2024-03-31T21:00:00.000Z","180.79","183.00","179.95","180.97","0.3271","0.1070","29,174,521"
"2024-04-01T21:00:00.000Z","179.07","180.79","178.38","180.69","-0.1547","-0.3749","32,611,546"
"2024-04-02T21:00:00.000Z","179.90","182.87","179.80","182.41","0.9519","0.7318","31,046,638"
"2024-04-03T21:00:00.000Z","184.00","185.10","180.00","180.00","-1.32","-1.54","41,624,261"
"2024-04-04T21:00:00.000Z","182.38","186.27","181.97","185.07","2.82","2.60","42,373,992"
"2024-04-07T21:00:00.000Z","186.90","187.29","184.81","185.19","0.0648","-0.1553","39,221,282"
"2024-04-08T21:00:00.000Z","187.24","187.34","184.20","185.67","0.2592","0.0391","36,546,946"
"2024-04-09T21:00:00.000Z","182.76","186.27","182.67","185.95","0.1508","-0.0693","35,879,151"
"2024-04-10T21:00:00.000Z","186.74","189.77","185.51","189.05","1.67","1.45","40,020,742"
"2024-04-11T21:00:00.000Z","187.72","188.38","185.08","186.13","-1.54","-1.76","38,608,849"
"2024-04-14T21:00:00.000Z","187.43","188.69","183.00","183.62","-1.35","-1.57","48,052,395"
"2024-04-15T21:00:00.000Z","183.27","184.83","182.26","183.32","-0.1634","-0.3835","32,891,265"
"2024-04-16T21:00:00.000Z","184.31","184.57","179.82","181.28","-1.11","-1.33","31,359,673"
"2024-04-17T21:00:00.000Z","181.47","182.39","178.65","179.22","-1.14","-1.36","30,723,793"
"2024-04-18T21:00:00.000Z","178.74","179.00","173.44","174.63","-2.56","-2.78","56,000,729"
"2024-04-21T21:00:00.000Z","176.94","178.87","174.56","177.23","1.49","1.27","37,924,890"
"2024-04-22T21:00:00.000Z","178.08","179.93","175.97","179.54","1.30","1.08","37,046,519"
"2024-04-23T21:00:00.000Z","179.94","180.32","176.18","176.59","-1.64","-1.86","34,185,109"
"2024-04-24T21:00:00.000Z","169.68","173.92","166.32","173.67","-1.65","-1.87","49,249,390"
"2024-04-25T21:00:00.000Z","177.79","180.82","176.13","179.62","3.43","3.21","43,919,765"
